,Country_Region,Province_State,Confirmed,Deaths,Recovered,Active,Incidence_Rate,Case-Fatality_Ratio
0,Australia,Australian Capital Territory,113,3,110,0.0,26.395701938799345,2.6548672566371683
1,Australia,New South Wales,4200,53,2994,1153.0,51.736881005173686,1.2619047619047619
2,Australia,Northern Territory,33,0,31,2.0,13.436482084690551,0.0
3,Australia,Queensland,1152,6,1123,23.0,22.51979278662888,0.5208333333333334
4,Australia,South Australia,466,4,462,0.0,26.530031312268715,0.8583690987124464
5,Australia,Tasmania,230,13,217,0.0,42.95051353874883,5.6521739130434785
6,Australia,Victoria,20042,761,18379,902.0,302.2971688864085,3.797026244885741
7,Australia,Western Australia,662,9,650,3.0,25.165361514483386,1.3595166163141994
8,Brazil,Acre,27061,648,24298,2115.0,3068.366716367985,2.3945900003695355
9,Brazil,Alagoas,83950,2014,80658,1278.0,2515.463583907865,2.3990470518165576
10,Brazil,Amapa,46738,691,35026,11021.0,5526.343482738601,1.4784543626171425
11,Brazil,Amazonas,131573,3956,109874,17743.0,3174.566791415426,3.0066959026548
12,Brazil,Bahia,294210,6221,280351,7638.0,1978.1398103309448,2.1144760545188808
13,Brazil,Ceara,233600,8801,206727,18072.0,2558.0158207146287,3.7675513698630136
14,Brazil,Distrito Federal,183096,3048,170627,9421.0,6072.296061245634,1.6647004849914802
15,Brazil,Espirito Santo,123720,3408,113545,6767.0,3078.645813892725,2.754607177497576
16,Brazil,Goias,182856,4135,172741,5980.0,2605.3972199179466,2.2613422583891154
17,Brazil,Maranhao,167333,3643,157810,5880.0,2365.070236365685,2.177095970310698
18,Brazil,Mato Grosso,112242,3214,92468,16560.0,3221.2109402129336,2.8634557474029334
19,Brazil,Mato Grosso do Sul,63466,1162,56313,5991.0,2283.782645900339,1.8309015851006842
20,Brazil,Minas Gerais,268009,6656,233463,27890.0,1266.0571876778415,2.4834986884768795
21,Brazil,Para,220205,6451,204728,9026.0,2559.670528364679,2.9295429259099475
22,Brazil,Paraiba,116588,2695,89305,24588.0,2901.550896723772,2.3115586509760866
23,Brazil,Parana,163479,4093,114358,45028.0,1429.7674899424585,2.503685488656035
24,Brazil,Pernambuco,141042,8004,122512,10526.0,1475.786880729462,5.674905347343342
25,Brazil,Piaui,90061,2025,87492,544.0,2751.443758712732,2.248476032911027
26,Brazil,Rio Grande do Norte,66963,2348,39924,24691.0,1909.489790418931,3.506413989815272
27,Brazil,Rio Grande do Sul,174140,4371,159153,10616.0,1530.5998230326354,2.510049385551855
28,Brazil,Rio de Janeiro,251261,17634,228258,5369.0,1455.324816305504,7.018200198200277
29,Brazil,Rondonia,62697,1297,52932,8468.0,3527.8031763001313,2.068679522146195
30,Brazil,Roraima,48088,613,15164,32311.0,7938.444369974297,1.2747462984528364
31,Brazil,Santa Catarina,205250,2635,194520,8095.0,2864.7044406617474,1.2838002436053593
32,Brazil,Sao Paulo,931673,33927,780448,117298.0,2028.946636068181,3.641513707062456
33,Brazil,Sergipe,75772,1976,68932,4864.0,3296.303643456987,2.6078234704112337
34,Brazil,Tocantins,63167,866,45266,17035.0,4016.0445962974595,1.3709690186331471
35,Canada,Alberta,16381,255,14702,1424.0,371.18645066354026,1.5566815212746474
36,Canada,British Columbia,7842,223,5797,1822.0,153.43626202499468,2.8436623310380007
37,Canada,Diamond Princess,0,1,0,0.0,,
38,Canada,Grand Princess,13,0,13,0.0,,0.0
39,Canada,Manitoba,1558,16,1211,331.0,113.10205246105856,1.0269576379974326
40,Canada,New Brunswick,194,2,192,0.0,24.872018082213557,1.0309278350515465
41,Canada,Newfoundland and Labrador,272,3,267,2.0,52.17074410441821,1.1029411764705883
42,Canada,Northwest Territories,5,0,5,0.0,11.134865490824867,0.0
43,Canada,Nova Scotia,1086,65,1021,0.0,111.10463171269942,5.985267034990794
44,Canada,Ontario,48317,2876,42573,2868.0,328.4228396649852,5.952356313512842
45,Canada,Prince Edward Island,57,0,56,1.0,36.039909457630976,0.0
46,Canada,Quebec,67080,5797,58490,2793.0,785.6940895143103,8.641920095408468
47,Canada,Saskatchewan,1787,24,1642,121.0,151.22716571349258,1.3430330162283155
48,Canada,Yukon,15,0,15,0.0,36.515896586980865,0.0
49,Chile,Antofagasta,19391,489,18423,479.0,3191.755523147676,2.521788458563251
50,Chile,Araucania,6358,103,5770,485.0,664.2123473711482,1.620006291286568
51,Chile,Arica y Parinacota,7561,138,7030,393.0,3344.568890776226,1.825155402724508
52,Chile,Atacama,6552,56,6083,413.0,2267.5674179079683,0.8547008547008547
53,Chile,Aysen,223,1,155,67.0,216.1732488028073,0.4484304932735426
54,Chile,Biobio,21564,286,19404,1874.0,1385.144574946766,1.3262845483212762
55,Chile,Coquimbo,11497,192,10756,549.0,1517.5834822713198,1.6700008697921196
56,Chile,Los Lagos,8086,85,7312,689.0,975.7357235600476,1.0511996042542666
57,Chile,Los Rios,1500,15,1254,231.0,389.77541140794676,1.0
58,Chile,Magallanes,6273,64,4924,1285.0,3766.8209904343294,1.0202454965726129
59,Chile,Maule,14317,297,12693,1327.0,1370.1134025551462,2.074456939302926
60,Chile,Metropolitana,282535,8998,269784,3753.0,3972.2005711387123,3.184738174031536
61,Chile,Nuble,5881,105,5223,553.0,1223.6558200116935,1.7854106444482232
62,Chile,OHiggins,15386,383,14218,785.0,1682.3482458682092,2.489275965163136
63,Chile,Tarapaca,11401,218,10898,285.0,3449.016511474537,1.912112972546268
64,Chile,Unknown,54,1,54,0.0,,1.8518518518518519
65,Chile,Valparaiso,26095,823,24120,1152.0,1437.026888014882,3.1538608928913585
66,China,Anhui,991,6,985,0.0,1.5670461733080334,0.6054490413723511
67,China,Beijing,935,9,926,0.0,4.340761374187558,0.9625668449197858
68,China,Chongqing,584,6,577,1.0,1.8826563507414569,1.0273972602739727
69,China,Fujian,395,1,380,14.0,1.002283684344075,0.2531645569620253
70,China,Gansu,170,2,168,0.0,0.6446719757299962,1.1764705882352942
71,China,Guangdong,1797,8,1767,22.0,1.5838180856689583,0.44518642181413465
72,China,Guangxi,258,2,253,3.0,0.5237515225334958,0.7751937984496124
73,China,Guizhou,147,2,145,0.0,0.4083333333333333,1.3605442176870748
74,China,Hainan,171,6,165,0.0,1.8308351177730195,3.5087719298245608
75,China,Hebei,365,6,356,3.0,0.4830598200105876,1.643835616438356
76,China,Heilongjiang,948,13,935,0.0,2.5125894513649616,1.3713080168776368
77,China,Henan,1279,22,1254,3.0,1.3315981259760539,1.7200938232994527
78,China,Hong Kong,5009,103,4708,198.0,66.81349896785214,2.056298662407666
79,China,Hubei,68139,4512,63627,0.0,115.1580192665202,6.6217584643155885
80,China,Hunan,1019,4,1015,0.0,1.4770256558921582,0.3925417075564279
81,China,Inner Mongolia,261,1,259,1.0,1.0299921073401737,0.3831417624521073
82,China,Jiangsu,665,0,664,1.0,0.8259843497702148,0.0
83,China,Jiangxi,935,1,934,0.0,2.011617900172117,0.106951871657754
84,China,Jilin,157,2,155,0.0,0.5806213017751479,1.2738853503184713
85,China,Liaoning,265,2,262,1.0,0.6079376003670567,0.7547169811320755
86,China,Macau,46,0,46,0.0,7.084094360136879,0.0
87,China,Ningxia,75,0,75,0.0,1.0901162790697674,0.0
88,China,Qinghai,18,0,18,0.0,0.29850746268656714,0.0
89,China,Shaanxi,399,3,372,24.0,1.0326086956521738,0.7518796992481203
90,China,Shandong,831,7,815,9.0,0.8271125709166915,0.8423586040914561
91,China,Shanghai,972,7,916,49.0,4.00990099009901,0.7201646090534979
92,China,Shanxi,203,0,203,0.0,0.5459924690693921,0.0
93,China,Sichuan,672,3,652,17.0,0.8056587939096032,0.44642857142857145
94,China,Tianjin,237,3,226,8.0,1.5192307692307692,1.2658227848101269
95,China,Tibet,1,0,1,0.0,0.02906976744186046,0.0
96,China,Xinjiang,902,3,899,0.0,3.626859670285485,0.3325942350332594
97,China,Yunnan,206,2,196,8.0,0.42650103519668736,0.9708737864077672
98,China,Zhejiang,1282,1,1272,9.0,2.2346173958514903,0.078003120124805
99,Colombia,Amazonas,2732,115,2597,20.0,3567.091880034992,4.209370424597363
100,Colombia,Antioquia,102501,2187,85968,14346.0,1599.8028437817914,2.133637720607604
101,Colombia,Arauca,1449,34,1122,293.0,552.6863838519456,2.3464458247066937
102,Colombia,Atlantico,66512,3016,61671,1825.0,2623.212544029482,4.5345200866009145
103,Colombia,Bolivar,27972,754,25630,1588.0,1351.2325431981876,2.695552695552696
104,Colombia,Boyaca,5995,117,4266,1612.0,492.4526194043582,1.95162635529608
105,Colombia,Caldas,4653,106,3183,1364.0,466.1133678268579,2.278100150440576
106,Colombia,Capital District,250490,6408,205741,38341.0,3379.261648395441,2.5581859555271667
107,Colombia,Caqueta,7759,274,6504,981.0,1932.556060066403,3.5313829101688365
108,Colombia,Casanare,1771,41,1203,527.0,421.1612731389,2.3150762281197066
109,Colombia,Cauca,8192,224,6257,1711.0,559.3763827358093,2.734375
110,Colombia,Cesar,17236,494,12740,4002.0,1435.6466157021555,2.866094221397076
111,Colombia,Choco,3930,154,3636,140.0,734.8184269276362,3.9185750636132317
112,Colombia,Cordoba,22745,1480,19406,1859.0,1274.384617065492,6.506924598812926
113,Colombia,Cundinamarca,30582,898,25087,4597.0,1047.666029475242,2.9363677980511413
114,Colombia,Guainia,547,10,234,303.0,1136.8832356486678,1.828153564899452
115,Colombia,Guaviare,628,11,417,200.0,758.7565092367731,1.7515923566878984
116,Colombia,Huila,9380,282,6258,2840.0,852.4281479408135,3.0063965884861408
117,Colombia,La Guajira,7207,275,5698,1234.0,818.4564368129373,3.8157347023726933
118,Colombia,Magdalena,14454,789,12119,1546.0,1077.2530717438324,5.4586965545869655
119,Colombia,Meta,14066,366,11374,2326.0,1352.8616303204124,2.602019053035689
120,Colombia,Narino,17412,638,14545,2229.0,1067.8330324201272,3.664139673788192
121,Colombia,Norte de Santander,14427,831,11890,1706.0,967.1587039925882,5.7600332709502995
