,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,Case-Fatality_Ratio
0,Diamond Princess,Canada,2020-09-20 04:22:56,53.895358400000006,27.555407799999998,0,1,0,,"Diamond Princess, Canada",,
1,Grand Princess,Canada,2020-09-20 04:22:56,39.143262799999995,23.43772966435339,13,0,13,0.0,"Grand Princess, Canada",,0.0
2,Port Quarantine,Japan,2020-09-20 04:22:56,19.121667000000002,37.369721999999996,887,1,514,372.0,"Port Quarantine, Japan",,0.11273957158962795
3,Alabama,US,2020-09-20 04:22:56,33.258881699999996,-86.8295337,0,0,0,0.0,"Out of AL, Alabama, US",,
4,Alabama,US,2020-09-20 04:22:56,33.258881699999996,-86.8295337,0,0,0,0.0,"Unassigned, Alabama, US",,
5,Alaska,US,2020-09-20 04:22:56,64.44596130000001,-149.680909,1,0,0,1.0,"Unassigned, Alaska, US",,0.0
6,Arizona,US,2020-09-20 04:22:56,34.395342,-111.76327549999999,4,2,0,2.0,"Unassigned, Arizona, US",,50.0
7,Arkansas,US,2020-09-20 04:22:56,35.2048883,-92.4479108,1649,0,0,1649.0,"Unassigned, Arkansas, US",,0.0
8,California,US,2020-09-20 04:22:56,36.7014631,-118.75599740000001,0,0,0,0.0,"Unassigned, California, US",,
9,Colorado,US,2020-09-20 04:22:56,38.7251776,-105.60771670000001,0,0,0,0.0,"Out of CO, Colorado, US",,
10,Colorado,US,2020-09-20 04:22:56,38.7251776,-105.60771670000001,0,0,0,0.0,"Unassigned, Colorado, US",,
11,Connecticut,US,2020-09-20 04:22:56,41.6500201,-72.7342163,121,0,0,121.0,"Unassigned, Connecticut, US",,0.0
12,Delaware,US,2020-09-20 04:22:56,38.6920451,-75.4013315,476,0,0,476.0,"Unassigned, Delaware, US",,0.0
13,Diamond Princess,US,2020-08-04 02:27:56,53.895358400000006,27.555407799999998,49,0,0,49.0,"Diamond Princess, US",,0.0
14,Florida,US,2020-09-20 04:22:56,27.7567667,-81.4639835,1592,0,0,1592.0,"Unassigned, Florida, US",,0.0
15,Georgia,US,2020-09-20 04:22:56,32.329380900000004,-83.1137366,16962,149,0,16813.0,"Out of GA, Georgia, US",,0.8784341469166372
16,Georgia,US,2020-09-20 04:22:56,32.329380900000004,-83.1137366,2399,5,0,2394.0,"Unassigned, Georgia, US",,0.20842017507294705
17,Grand Princess,US,2020-08-04 02:27:56,39.143262799999995,23.43772966435339,103,3,0,100.0,"Grand Princess, US",,2.912621359223301
18,Hawaii,US,2020-09-20 04:22:56,19.58726775,-155.42688965312746,28,1,0,27.0,"Out of HI, Hawaii, US",,3.571428571428572
19,Hawaii,US,2020-09-20 04:22:56,19.58726775,-155.42688965312746,0,0,0,0.0,"Unassigned, Hawaii, US",,
20,Idaho,US,2020-09-20 04:22:56,43.644764200000004,-114.0154071,3,0,0,3.0,"Unassigned, Idaho, US",,0.0
21,Illinois,US,2020-09-20 04:22:56,40.079660600000004,-89.4337288,2,0,0,2.0,"Out of IL, Illinois, US",,0.0
22,Illinois,US,2020-09-20 04:22:56,40.079660600000004,-89.4337288,2241,236,0,2005.0,"Unassigned, Illinois, US",,10.531012940651497
23,Indiana,US,2020-09-20 04:22:56,40.327012700000004,-86.1746933,0,225,0,-225.0,"Unassigned, Indiana, US",,
24,Iowa,US,2020-09-20 04:22:56,41.9216734,-93.3122705,23,0,0,4.0,"Unassigned, Iowa, US",,0.0
25,Kansas,US,2020-09-20 04:22:56,38.27312,-98.58218719999999,0,0,0,0.0,"Unassigned, Kansas, US",,
26,Kentucky,US,2020-09-20 04:22:56,37.5726028,-85.1551411,0,0,0,0.0,"Unassigned, Kentucky, US",,
27,Louisiana,US,2020-09-20 04:22:56,30.8703881,-92.007126,0,0,0,0.0,"Out of LA, Louisiana, US",,
28,Louisiana,US,2020-09-20 04:22:56,30.8703881,-92.007126,190,170,0,20.0,"Unassigned, Louisiana, US",,89.47368421052632
29,Maine,US,2020-08-07 22:34:20,45.709097,-68.8590201,0,0,0,0.0,"Out of ME, Maine, US",,
30,Maine,US,2020-09-20 04:22:56,45.709097,-68.8590201,0,0,0,0.0,"Unassigned, Maine, US",,
31,Maryland,US,2020-09-20 04:22:56,39.5162234,-76.9382069,0,11,0,-11.0,"Unassigned, Maryland, US",,
32,Massachusetts,US,2020-09-20 04:22:56,42.3788774,-72.03236600000001,2384,5,0,2379.0,"Unassigned, Massachusetts, US",,0.20973154362416108
33,Michigan,US,2020-09-20 04:22:56,43.6211955,-84.6824346,195,5,0,190.0,"Federal Correctional Institution (FCI), Michigan, US",,2.5641025641025643
34,Michigan,US,2020-09-20 04:22:56,43.6211955,-84.6824346,5563,73,0,5490.0,"Michigan Department of Corrections (MDOC), Michigan, US",,1.3122415962610103
35,Michigan,US,2020-09-20 04:22:56,43.6211955,-84.6824346,204,2,0,202.0,"Out of MI, Michigan, US",,0.9803921568627452
36,Michigan,US,2020-09-20 04:22:56,43.6211955,-84.6824346,4,0,0,4.0,"Unassigned, Michigan, US",,0.0
