,level_0,index,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,CaseFatality_Ratio
0,0,0,Lakshadweep,India,2020-09-20 04:22:56,13.699997199999999,72.18333259999999,0,0,0,0.0,"Lakshadweep, India",0.0,0.0
1,1,1,Colorado,US,2020-09-20 04:22:56,38.43260896,-102.7392145,0,0,0,0.0,"Kiowa, Colorado, US",0.0,0.0
2,2,2,Montana,US,2020-09-20 04:22:56,45.5197966,-104.53955359999999,0,0,0,0.0,"Carter, Montana, US",0.0,0.0
3,3,3,Montana,US,2020-09-20 04:22:56,47.118246299999996,-108.2508876,0,0,0,0.0,"Petroleum, Montana, US",0.0,0.0
4,4,4,Nebraska,US,2020-09-20 04:22:56,41.91311716,-99.97677845,0,0,0,0.0,"Blaine, Nebraska, US",0.0,0.0
5,5,5,Nebraska,US,2020-09-20 04:22:56,40.52451972,-101.0603568,0,0,0,0.0,"Hayes, Nebraska, US",0.0,0.0
6,6,6,Nevada,US,2020-09-20 04:22:56,37.78436681,-117.63199990000001,0,0,0,0.0,"Esmeralda, Nevada, US",0.0,0.0
7,7,7,Oregon,US,2020-09-20 04:22:56,44.72698162,-120.02814270000002,0,0,0,0.0,"Wheeler, Oregon, US",0.0,0.0
8,8,8,Texas,US,2020-09-20 04:22:56,32.74363984,-101.43165090000001,0,0,0,0.0,"Borden, Texas, US",0.0,0.0
9,9,9,Texas,US,2020-09-20 04:22:56,33.61643847,-100.2558057,0,0,0,0.0,"King, Texas, US",0.0,0.0
10,10,10,Texas,US,2020-09-20 04:22:56,31.84947612,-103.5818571,0,0,0,0.0,"Loving, Texas, US",0.0,0.0
11,11,11,Alabama,US,2020-09-20 04:22:56,33.2588817,-86.8295337,0,0,0,0.0,"Out of AL, Alabama, US",0.0,0.0
12,12,12,Alabama,US,2020-09-20 04:22:56,33.2588817,-86.8295337,0,0,0,0.0,"Unassigned, Alabama, US",0.0,0.0
13,13,13,California,US,2020-09-20 04:22:56,36.7014631,-118.7559974,0,0,0,0.0,"Unassigned, California, US",0.0,0.0
14,14,14,Colorado,US,2020-09-20 04:22:56,38.7251776,-105.6077167,0,0,0,0.0,"Out of CO, Colorado, US",0.0,0.0
15,15,15,Colorado,US,2020-09-20 04:22:56,38.7251776,-105.6077167,0,0,0,0.0,"Unassigned, Colorado, US",0.0,0.0
16,16,16,Hawaii,US,2020-09-20 04:22:56,19.58726775,-155.42688965312746,0,0,0,0.0,"Unassigned, Hawaii, US",0.0,0.0
17,17,17,Indiana,US,2020-09-20 04:22:56,40.3270127,-86.1746933,0,225,0,-225.0,"Unassigned, Indiana, US",0.0,0.0
18,18,18,Kansas,US,2020-09-20 04:22:56,38.27312,-98.5821872,0,0,0,0.0,"Unassigned, Kansas, US",0.0,0.0
19,19,19,Kentucky,US,2020-09-20 04:22:56,37.5726028,-85.1551411,0,0,0,0.0,"Unassigned, Kentucky, US",0.0,0.0
20,20,20,Louisiana,US,2020-09-20 04:22:56,30.8703881,-92.007126,0,0,0,0.0,"Out of LA, Louisiana, US",0.0,0.0
21,21,21,Maine,US,2020-08-07 22:34:20,45.709097,-68.8590201,0,0,0,0.0,"Out of ME, Maine, US",0.0,0.0
22,22,22,Maine,US,2020-09-20 04:22:56,45.709097,-68.8590201,0,0,0,0.0,"Unassigned, Maine, US",0.0,0.0
23,23,23,Maryland,US,2020-09-20 04:22:56,39.5162234,-76.9382069,0,11,0,-11.0,"Unassigned, Maryland, US",0.0,0.0
24,24,24,Mississippi,US,2020-09-20 04:22:56,32.9715645,-89.7348497,0,0,0,0.0,"Unassigned, Mississippi, US",0.0,0.0
25,25,25,Missouri,US,2020-09-20 04:22:56,38.7604815,-92.5617875,0,0,0,0.0,"Unassigned, Missouri, US",0.0,0.0
26,26,26,Montana,US,2020-09-20 04:22:56,47.3752671,-109.63875790000002,0,0,0,0.0,"Unassigned, Montana, US",0.0,0.0
27,27,27,Nevada,US,2020-09-20 04:22:56,39.5158825,-116.8537227,0,0,0,0.0,"Unassigned, Nevada, US",0.0,0.0
28,28,28,New York,US,2020-09-20 04:22:56,40.7127281,-74.0060152,0,16,0,-16.0,"Unassigned, New York, US",0.0,0.0
29,29,29,North Carolina,US,2020-09-20 04:22:56,35.6729639,-79.03929190000002,0,0,0,0.0,"Unassigned, North Carolina, US",0.0,0.0
30,30,30,North Dakota,US,2020-09-20 04:22:56,47.6201461,-100.540737,0,0,0,0.0,"Unassigned, North Dakota, US",0.0,0.0
31,31,31,Ohio,US,2020-09-20 04:22:56,40.2253569,-82.6881395,0,0,0,0.0,"Unassigned, Ohio, US",0.0,0.0
32,32,32,Oklahoma,US,2020-09-20 04:22:56,34.9550817,-97.2684063,0,0,0,0.0,"Out of OK, Oklahoma, US",0.0,0.0
33,33,33,Oregon,US,2020-09-20 04:22:56,43.9792797,-120.737257,0,0,0,0.0,"Unassigned, Oregon, US",0.0,0.0
34,34,34,Pennsylvania,US,2020-09-20 04:22:56,40.9699889,-77.72788309999999,0,0,0,0.0,"Unassigned, Pennsylvania, US",0.0,0.0
35,35,36,South Carolina,US,2020-09-20 04:22:56,33.687438799999995,-80.4363743,0,0,0,0.0,"Unassigned, South Carolina, US",0.0,0.0
